osmid,y,x,street_count,highway,ref,geometry
90538182,38.618825,-121.481579,3,,,POINT (-121.481579 38.618825)
90538190,38.618914,-121.483427,1,turning_circle,,POINT (-121.483427 38.618914)
90538508,38.520619,-121.440587,3,,,POINT (-121.440587 38.520619)
90538537,38.488044,-121.543651,1,turning_circle,,POINT (-121.543651 38.488044)
90538591,38.526915,-121.415991,3,,,POINT (-121.415991 38.526915)
90538710,38.505925,-121.521011,1,turning_circle,,POINT (-121.521011 38.505925)
90538711,38.505687,-121.521545,4,,,POINT (-121.521545 38.505687)
90538732,38.503264,-121.521579,3,,,POINT (-121.521579 38.503264)
90538870,38.557381,-121.385032,1,turning_circle,,POINT (-121.385032 38.557381)
90538915,38.554113,-121.401443,3,,,POINT (-121.401443 38.554113)
90538917,38.553571,-121.401205,1,turning_circle,,POINT (-121.401205 38.553571)
90539072,38.627509,-121.486189,3,,,POINT (-121.486189 38.627509)
90539074,38.627002,-121.486186,1,turning_circle,,POINT (-121.486186 38.627002)
90539090,38.659358,-121.447745,3,,,POINT (-121.447745 38.659358)
90539248,38.5610102,-121.4995367,3,,,POINT (-121.4995367 38.5610102)
90539250,38.5605681,-121.4978721,3,,,POINT (-121.4978721 38.5605681)
90539254,38.5603677,-121.4971333,3,,,POINT (-121.4971333 38.5603677)
90539260,38.558472,-121.491597,4,,,POINT (-121.491597 38.558472)
90539262,38.557198,-121.492146,4,,,POINT (-121.492146 38.557198)
90539264,38.555916,-121.492701,3,,,POINT (-121.492701 38.555916)
90539269,38.555073,-121.492789,3,,,POINT (-121.492789 38.555073)
90539270,38.553819,-121.493303,3,,,POINT (-121.493303 38.553819)
90539279,38.558689,-121.386977,1,turning_circle,,POINT (-121.386977 38.558689)
90539360,38.5449576,-121.4923004,3,,,POINT (-121.4923004 38.5449576)
90539377,38.5443211,-121.493252,3,,,POINT (-121.493252 38.5443211)
90539383,38.5443112,-121.4932017,3,,,POINT (-121.4932017 38.5443112)
90539504,38.530743,-121.486327,3,,,POINT (-121.486327 38.530743)
90539516,38.5972613,-121.5022367,4,traffic_signals,,POINT (-121.5022367 38.5972613)
90539518,38.597208,-121.497426,4,traffic_signals,,POINT (-121.497426 38.597208)
90539533,38.596868,-121.494824,4,traffic_signals,,POINT (-121.494824 38.596868)
